Date,Time,Open,High,Low,Close,Tick volume
2025.01.02,06:00:00,1.03503,1.03519,1.03483,1.03485,80
2025.01.02,06:15:00,1.03485,1.03546,1.03485,1.03543,99
2025.01.02,06:30:00,1.03542,1.03573,1.03526,1.03566,554
2025.01.02,06:45:00,1.03561,1.03577,1.0355,1.0355,590
2025.01.02,07:00:00,1.0355,1.03563,1.03501,1.03536,511
2025.01.02,07:15:00,1.03536,1.03543,1.03513,1.03513,384
2025.01.02,07:30:00,1.03515,1.03517,1.03462,1.03491,486
2025.01.02,07:45:00,1.03491,1.03531,1.03491,1.03507,596
2025.01.02,08:00:00,1.03508,1.03518,1.03491,1.03493,474
2025.01.02,08:15:00,1.03492,1.03513,1.03472,1.03506,539
2025.01.02,08:30:00,1.03505,1.03516,1.03485,1.03508,391
2025.01.02,08:45:00,1.03509,1.03564,1.03503,1.0352,648
2025.01.02,09:00:00,1.03521,1.03521,1.03442,1.03489,1355
2025.01.02,09:15:00,1.03489,1.03538,1.03463,1.03508,1107
2025.01.02,09:30:00,1.03509,1.03606,1.03489,1.03581,820
2025.01.02,09:45:00,1.03581,1.03598,1.03572,1.03578,653
2025.01.02,10:00:00,1.03577,1.03613,1.03577,1.03602,580
2025.01.02,10:15:00,1.03602,1.03635,1.03594,1.0363,373
2025.01.02,10:30:00,1.0363,1.03671,1.03629,1.03668,283
2025.01.02,10:45:00,1.03667,1.03712,1.03662,1.03709,379
2025.01.02,11:00:00,1.03711,1.03732,1.03705,1.03713,392
2025.01.02,11:15:00,1.03717,1.03717,1.03682,1.03704,336
2025.01.02,11:30:00,1.03707,1.0374,1.037,1.03718,497
2025.01.02,11:45:00,1.03718,1.03725,1.03694,1.03715,288
2025.01.02,12:00:00,1.03716,1.03756,1.03716,1.03743,317
2025.01.02,12:15:00,1.03742,1.03751,1.03709,1.03711,350
2025.01.02,12:30:00,1.03712,1.03716,1.03664,1.03669,360
2025.01.02,12:45:00,1.03669,1.03705,1.03664,1.03692,236
2025.01.02,13:00:00,1.03693,1.03706,1.03655,1.03662,328
2025.01.02,13:15:00,1.03663,1.0367,1.03635,1.03646,297
2025.01.02,13:30:00,1.03647,1.03653,1.03618,1.03618,265
2025.01.02,13:45:00,1.03619,1.03648,1.03617,1.03638,364
2025.01.02,14:00:00,1.03637,1.03637,1.03607,1.03623,542
2025.01.02,14:15:00,1.03622,1.03633,1.03603,1.03616,424
2025.01.02,14:30:00,1.03616,1.03639,1.03599,1.03632,688
2025.01.02,14:45:00,1.03633,1.0365,1.03622,1.03637,657
2025.01.02,15:00:00,1.03637,1.03682,1.03629,1.03675,1200
2025.01.02,15:15:00,1.03675,1.03695,1.03659,1.03686,735
2025.01.02,15:30:00,1.03688,1.03694,1.03659,1.03681,815
